source,source_name,glottolog_code,glottolog_name,latitude,longitude,glottolog_class,family
Koelle 1854 : II-9 - Mẹ́nde,II-9 - Mẹ́nde,mend1266,Mende (Sierra Leone),7.91,-10.99,Mande_Southwest,Mande
Babaev 2010 : Zialo,Zialo,zial1235,Zialo,8.43,-9.51,Mande_Southwest,Mande
Koelle 1854 : II-5-a - (Sóso) Sṓlīma,II-5-a - (Sóso) Sṓlīma,susu1250,Susu,10.4,-13.36,Mande_Susu-Yalunka,Mande
Koelle 1854 : II-5-b - (Sóso) Kísekise,II-5-b - (Sóso) Kísekise,susu1251,Susu,10.4,-13.37,Mande_Susu-Yalunka,Mande
Koelle 1854 : II-6 - Tḗnẹ,II-6 - Tḗnẹ,susu1252,Susu,10.4,-13.38,Mande_Susu-Yalunka,Mande
New Tribes Mission 2004 : Susu,Susu,susu1250,Susu,10.4,-13.36,Mande_Susu-Yalunka,Mande
Creissels 2010 : dialonké de Faleya,Dialonké de Faleya,yalu1240,Yalunka,9.97,-11.28,Mande_Susu-Yalunka,Mande
Koelle 1854 : II-1-d - Dṣálun·ka,II-1-d - Dṣálun·ka,yalu1240,Yalunka,9.97,-11.28,Mande_Susu-Yalunka,Mande
Koelle 1854 : II-1-a - Mandén·ga,II-1-a - Mandén·ga,mand1436,Mandinka,12.82,-15.65,Mande_West-Manding,Mande
Koelle 1854 : II-1-b - Kābún·ga,II-1-b - Kābún·ga,mand1437,Mandinka,12.82,-15.66,Mande_West-Manding,Mande
Koelle 1854 : II-1-c - Torón·ka,II-1-c - Torón·ka,mand1438,Mandinka,12.82,-15.67,Mande_West-Manding,Mande
Colley 1995 : Mandinka,Mandinka,mand1436,Mandinka,13.26,-12.9,Mande_West-Manding,Mande
Creissels 2011 : mandinka,Mandinka,mand1436,Mandinka,13.26,-12.9,Mande_West-Manding,Mande
Koelle 1854 : XII-A-a-3 - Gadṣā́ga,Mandinka,mand1436,Mandinka,13.26,-12.9,Mande_West-Manding,Mande
Creissels 2009 : malinké de Kita,Malinké de Kita,west2500,Western Maninkakan,13.26,-12.9,Mande_West-Manding,Mande
Creissels & Camara 2013 : maninka du Niokolo,Maninka du Niokolo,west2500,Western Maninkakan,13.57,-12.8,Mande_West-Manding,Mande
Tveit & Dansoko 1993 : khassonké,Khassonké,xaas1235,Xaasongaxango,14.1,-10.95,Mande_West-Manding,Mande
Konoshenko 2020 : kpele de Guinée,Kpele de Guinée,guin1254,Guinea Kpelle,7.93,-8.99,Mande_Western,Mande
Vydrina 2018 : kakabe,Kakabe,kaka1265,Kakabe,10.6,-11.44,Mande_Western,Mande
Polinder & Janse 2009 : Mɔgɔfin,Mɔgɔfin,mixi1241,Mixifore,10.68,-14.38,Mande_Western,Mande
McPherson 2018 : Seenku,Seenku,seek1238,Seeku,11.13,-4.58,Mande_Western,Mande
Prost 1971 : sembla,Sembla,seek1238,Seeku,11.13,-4.58,Mande_Western,Mande
Le Bris & Prost 1981 : bobo,Bobo,sout2840,Southern Bobo Madaré,11.54,-4.26,Mande_Western,Mande
Djilla et al. 2004 : jôwulu,Jôwulu,jowu1238,Jowulu,10.77,-5.48,Mande_North-Western,Mande
Hochstetler 1996 : duungoma (Bananso),Duungoma (Bananso),duun1242,Duungooma,10.88333,-6.03333,Mande_North-Western,Mande
Hochstetler 1996 : duungoma (Sieou),Duungoma (Sieou),duun1242,Duungooma,10.7300421,-5.5579899,Mande_North-Western,Mande
Hochstetler 1996 : duungoma (Samogo-Gouan),Duungoma (Samogo-Gouan),duun1242,Duungooma,11.392149,-4.9380296,Mande_North-Western,Mande
Hochstetler 1996 : duungoma (Samogo-Hiri),Duungoma (Samogo-Hiri),duun1242,Duungooma,10.9303239,-5.11916,Mande_North-Western,Mande
Hochstetler 1996 : duungoma (Zantiguila),Duungoma (Zantiguila),duun1242,Duungooma,11.5995914,-5.3323661,Mande_North-Western,Mande
Leopold 1996 : Loma,Loma,loma1259,Loma,7.92,-9.7,Mande_Southwest,Mande
Houis 1953 : baga koba,Baga koba,baga1273,Baga Koga,10.13,-13.95,Mel_Northern,Mel
Koelle 1854 : I-D-1 - Bága (of Kā́lum),I-D-1 - Bága (of Kā́lum),baga1273,Baga Koga,10.13,-13.95,Mel_Northern,Mel
Lamp 2016 : Baga Tshi-tem,Baga Tshi-tem,baga1272,Baga Sitemu,10.48,-14.48,Mel_Northern,Mel
Rogers & Bryant 2012 : landouma,Landouma,land1256,Landoma,10.88,-14.09,Mel_Northern,Mel
Houis 1953 : landuma,Landuma,land1256,Landoma,10.88,-14.09,Mel_Northern,Mel
Koelle 1854 : I-D-2 - Tímne,I-D-2 - Tímne,timn1235,Timne,8.9,-12.33,Mel_Northern,Mel
Dalby 1960 : temne,Temne,timn1235,Timne,8.9,-12.33,Mel_Northern,Mel
Dalby 1960 : temne,Temne,timn1235,Timne,8.9,-12.33,Mel_Northern,Mel
Thomas 1916 : Timne,Timne,timn1235,Timne,8.9,-12.33,Mel_Northern,Mel
Koelle 1854 : I-D-3 - Búlom,I-D-3 - Búlom,bull1247,Bullom So,9,-13.16,Mel_Southern,Mel
Childs 2012 : Mani,Mani,bull1247,Mmani,9,-13.16,Mel_Southern,Mel
Childs 2000 : kisi,Kisi,nort2765,Northern Kissi,8.73,-10.41,Mel_Southern,Mel
Koelle 1854 : I-D-5 - Kísi,I-D-5 - Kísi,sout2778,Southern Kisi,8.32,-10.34,Mel_Southern,Mel
Childs 2012 : Bom,,bomm1240,Bom,9.28,-11.6,Mel_Southern,Mel
Childs 2012 : Kim,,krim1238,Krim,7.24,-11.84,Mel_Southern,Mel
Nurse & Philippson 1975 : Kami,Kami,kami1258,Kami (Nigeria),8.57,6.66,Nupoid_Dibo-Kupa,Nupoid
Moges & Yehualashet 1995 : Anfillo,Anfillo,anfi1235,Anfillo,8.57,34.65,Omotic_Kefoid,Omotic
Petrollino 2016 : Hamar,Hamar,karo1297,Karo (Ethiopia),5.21,36.17,Omotic_South,Omotic
Hieda 1991 : Kara,Kara,karo1297,Karo (Ethiopia),5.21,36.17,Omotic_South,Omotic
APLM 2009 : Mamara,Mamara,mama1271,Mamara Senoufo,12.49,-5.28,Senufo_North,Senufo
Chéron 1925 : sénoufo du Minyanka,Sénoufo du Minyanka,mama1271,Mamara Senoufo,12.49,-5.28,Senufo_North,Senufo
Rongier 2003 : senoufo de Kolia,Senoufo de Kolia,senu1239,Senufo,9.77,-6.46,Senufo_North,Senufo
Carlson 1994 : Supyire (Kampwo),Supyire (Kampwo),supy1237,Supyire Senoufo,11.63,-5.88,Senufo_North,Senufo
Zima 1994 : dendi,Dendi,dend1243,Dendi (Benin),11.67,3.49,Songhay_Eastern,Songhay
Heath 2015 : Humburi Senni Songhay,Humburi Senni Songhay,humb1243,Humburi Senni Songhay,15.2778333,-1.69,Songhay_Eastern,Songhay
Heath 1999 : Koyra Chiini Songhay,,koyr1240,Koyra Chiini Songhay,16.19,-3.74,Songhay_Eastern,Songhay
Heath 2005 : Tondi Songway Kiini,Tondi Songway Kiini,tond1249,Tondi Songway Kiini,15.26,-2.82,Songhay_Eastern,Songhay
Ducroz & Charles 1978 : kaado,Kaado,zarm1239,Zarma,14.62,0.28,Songhay_Eastern,Songhay
Seydou Hanafiou 1995 : kaado (Ayorou-Goungokore),Kaado (Ayorou-Goungokore),zarm1239,Zarma,14.47,0.87,Songhay_Eastern,Songhay
Oumarou Yaro 1993 : zarma,Zarma,zarm1239,Zarma,12.86,2.41,Songhay_Eastern,Songhay
Hieda 1991 : Koegu,Koegu,kweg1241,Kwegu,5.4,36.17,Sumic_Southeast,Sumic
Moñino (Ed) 1988 : ʼbaka (15),ʼbaka,baka1272,Baka (Cameroon),2.16,13.78,Ubangian_Baka,Ubangian
Moñino (Ed) 1988 : gbanzili (13),Gbanzili,gban1258,Gbanziri-Boraka,4.68,20.26,Ubangian_Baka,Ubangian
Elders 1995 : Mono,Mono,mono1269,Mono (Cameroon),8.78,14.23,Ubangian_Baka,Ubangian
Moñino (Ed) 1988 : ngbaka maʼbo (12),Ngbaka maʼbo,ngba1284,Ngbaka Ma'bo,4,18.12,Ubangian_Baka,Ubangian
Moñino 1997 : yangere,Yangere,band1348,Banda-Yangere,3.9,16.3,Ubangian_Bandaic,Ubangian
Segerer 1996 : dakpa,Dakpa,dakp1243,Dakpa,5.73,20.05,Ubangian_Bandaic,Ubangian
Cloarec-Heiss 1997 : gbi,Gbi,gbii1241,Gbi,5.85,19.8,Ubangian_Bandaic,Ubangian
Moñino 1997 : hai,Hai,haii1241,Hai,6.7,22.76,Ubangian_Bandaic,Ubangian
Boyd & Boyeldieu 1997 : langba,Langba,lang1319,Langbashe,5.15,20,Ubangian_Bandaic,Ubangian
Cloarec-Heiss 1997 : mbanza,Mbanza,mban1263,Mbandja,3.98,19.45,Ubangian_Bandaic,Ubangian
Diki-Kidiri 1997 : moruba,Moruba,moru1251,Moruba,7.1,20,Ubangian_Bandaic,Ubangian
Cloarec-Heiss 1997 : vara,Vara,vara1239,Vara,5.76,20.67,Ubangian_Bandaic,Ubangian
Nougayrol 1997 : wojo,Wojo,wojo1239,Wojo,7,19,Ubangian_Bandaic,Ubangian
Brosnahan 1967 : Gokana,Gokana,goka1239,Gokana,4.62,7.34,Delta_Cross,Volta-Congo
Rongier 1996 : Mɔyɔbɛ,Mɔyɔbɛ,miyo1238,Miyobe,1.35,9.92,Isolate,Volta-Congo
Hérault (Ed) 1983 (vol. II) : éga,éga,egaa1242,Ega,5.57,-5.41,Volta-Congo_Isolate,Volta-Congo
Heath 2019 : Pere,Pere,mbre1244,Mbre,8.21,-5.73,Volta-Congo_Isolate,Volta-Congo
Boyeldieu 1998 : pere/pre,Pere/pre,mbre1244,Mbre,8.21,-5.73,Volta-Congo_Isolate,Volta-Congo
Koelle 1854 : III-C-1-d - (Akū) Yórūba,III-C-1-d - (Akū) Yórūba,yoru1245,Yoruba,7.15,3.67,Yoruboid_Nuclear,Yoruboid
