,BankanTey,BenTey,BonduSoNajamba,Bunoge,DogulDomBendiely,DonnoSo,JamsayDouentza,Mombo,Penange,PergeTegu,TebulUre,Tiranige,TogoKan,TommoSoTongoTongo,ToroTegu,YandaDom,YornoSo
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,0.7455771937909705,0.7150356781728641,0.7757190311551729,0.7848245948149151,0.7511409705651788,0.7309408535902753,0.698994034058445,0.7877698268045449,0.7847583920452907,0.6893057610116371,0.733577132151719,0.7735455632486509,0.7404010877577769,0.7858578531310584,0.7895973035938247,0.7187538079875558,0.7088407850363394
std,0.21852637342008002,0.22391378161325237,0.20450351495992405,0.22437672966910055,0.19954102716232633,0.20313314755728648,0.22770809132989064,0.22472751197963525,0.2364644021662378,0.2204990715189752,0.2030607981198485,0.20759342822748214,0.2161693433391951,0.2110950861678671,0.21459803123927718,0.1972759160025455,0.21019555733620474
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.7523148148148149,0.7258771929824561,0.7680180180180181,0.8243243243243243,0.7645161290322581,0.7140151515151515,0.592891760904685,0.8214285714285714,0.8286334056399132,0.65625,0.7319819819819819,0.7463054187192117,0.7053231939163498,0.8019966722129783,0.78330658105939,0.7239436619718309,0.6186440677966102
50%,0.8156028368794326,0.78330658105939,0.8286334056399132,0.8761261261261262,0.7907801418439716,0.7655172413793103,0.7418655097613882,0.8776470588235294,0.8857142857142857,0.7155963302752293,0.7655172413793103,0.8319088319088319,0.8062283737024222,0.8341463414634146,0.8345864661654135,0.758436944937833,0.7443729903536977
75%,0.8571428571428572,0.8511627906976744,0.853225806451613,0.8810068649885583,0.8262295081967213,0.8345864661654135,0.853225806451613,0.8916666666666666,0.9008810572687224,0.8226351351351351,0.8319088319088319,0.8626506024096385,0.8690476190476191,0.8719211822660098,0.9005059021922428,0.8019966722129783,0.8508557457212714
max,0.8918439716312057,0.90084388185654,0.9005059021922428,0.91196388261851,0.8780487804878049,0.8857142857142857,0.911578947368421,0.92894280762565,0.9281045751633988,0.9008810572687224,0.8825065274151436,0.9110576923076924,0.926829268292683,0.9090909090909092,0.92894280762565,0.8612612612612612,0.8893805309734513
