,DonnoSo,TommoSo,YornoSo,BankanTey,BenTey,DogulDom,Najamba-Kindige,TebulUre,YandaDom,Jamsay,PergeTegu,TogoKan,ToroTegu,Bunoge,Mombo,Penange,TiranigeDiga
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,0.40656145109185404,0.34013542140145697,0.3688972582275138,0.48121861011827805,0.4467338080130574,0.3374310589323825,0.4836949009110422,0.45947207314568467,0.4017262248974407,0.46185917008632316,0.4450839576529571,0.5064821214544909,0.6027041393147468,0.36955233024540685,0.36916093579247705,0.42674339141420453,0.36721623648256674
std,0.24448999489374476,0.22396298057060174,0.24177403137485134,0.302988220113656,0.3102381141596737,0.22736830221091853,0.28138215292857865,0.2958372908403982,0.26716138735875605,0.31259228750920426,0.31261476706191177,0.2157568563807511,0.23921510485064662,0.23342466079723395,0.23403298928066021,0.23246953892825417,0.22386758410707838
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.21818701750823974,0.18862625444083658,0.21791118172189763,0.21242672759719503,0.1854657283045959,0.15248735968362384,0.24589971792563733,0.2439207510715106,0.21917848558560923,0.19400965573638623,0.2209010220344496,0.3898610453142297,0.4635763957602919,0.20572282770130623,0.20126625826942346,0.24680071684620067,0.2278522285197412
50%,0.4495220284960293,0.30003671685231154,0.3996960389706523,0.49043875418434574,0.39324567325468696,0.32701795828432284,0.4636121723789905,0.38613838880723805,0.372928808336986,0.45298248117217904,0.3560226470178531,0.4818722543313569,0.5883712752517511,0.3706389363360407,0.3236124719782392,0.42572532054560414,0.36190692688170867
75%,0.5242438453673887,0.4560702186675122,0.45763282492065005,0.6442736862903852,0.7193074372361906,0.45078554438009744,0.6194693744026497,0.7071282238756824,0.5408272264508256,0.6955737554598697,0.7152675457753473,0.6374036307848698,0.7978141766648645,0.4783633491510932,0.48730940773267845,0.5452874910744725,0.46950925899962187
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0
