ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
25521	Toro_Tegu_Dogon	answer	tʃísú	1275.0
26060	Penange	answer	d.ʒám.bé	1275.0
26061	Penange	answer	kíd.ʒɛ́	1275.0
30841	Mombo_Dogon	answer	kízɛ́	1275.0
30842	Mombo_Dogon	answer	ábúlè	1275.0
44231	Jamsay_Dogon	answer	kasa	1275.0
44232	Jamsay_Dogon	answer	sa	1275.0
48560	Yorno_So	answer	sáj	1275.0
48561	Yorno_So	answer	sá.á	1275.0
60875	Najamba	answer	d.ʒá.ábɛ́	1275.0
69616	Ben_Tey_Dogon	answer	mò.ó#sá	1275.0
69617	Ben_Tey_Dogon	answer	sá	1275.0
70084	Bunoge_Dogon	answer	kíd.ʒɛ̀	1275.0
75271	Yanda_Dom_Dogon	answer	sá.á	1275.0
75272	Yanda_Dom_Dogon	answer	mbò#sá.á	1275.0
88552	Dogul_Dom_Dogon	answer	kíɡìl-mè	1275.0
88553	Dogul_Dom_Dogon	answer	kísɛ̀	1275.0
91261	Tebul_Ure_Dogon	answer	sá	1275.0
91262	Tebul_Ure_Dogon	answer	sá.á-mí	1275.0
95535	Jamsay_Dogon	answer	sá.á	1275.0
95821	Tommo_So_Dogon	answer	jàbí-lɛ́	1275.0
95822	Tommo_So_Dogon	answer	sáwá	1275.0
101327	Tiranige_Diga_Dogon	answer	tʃíɡírɔ́	1275.0
103243	Nanga	answer	nɔ̀.ɔ́#sá.á	1275.0
103244	Nanga	answer	sá.á	1275.0
112025	Perge_Tegu	answer	sá.á	1275.0
118994	Jamsay_Dogon	answer	sa.ara	1275.0
119444	Ana_Tinga_Dogon	answer	bonɔle	1275.0
120033	Tebul_Ure_Dogon	answer	sanmi	1275.0
121336	Yanda_Dom_Dogon	answer	samɛm	1275.0
122454	Bunoge_Dogon	answer	kiɡju	1275.0
128798	Jamsay_Dogon	answer	sá.á	1275.0
129938	Tengou-Togo_Dogon	answer	sa.a	1275.0
132398	Nanga	answer	sá.á	1275.0
